Date/Time,Lat,Long,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,VIN,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(100w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp
05/20/2017 14:07:13,9 54.42146,-84 8.04703,1230,5.8,133,593648,546220,380.16,2.039,3964,3955,3960,9,0,75.6,24.2,75.6,24.2,none,none,76.3,24.6,3959,3959,3963,3961,3964,3960,3960,3961,3960,3960,3959,3961,3961,3961,3960,3961,3960,3960,3955,3961,3960,3960,3959,3961,3960,3960,3959,3961,3964,3964,3959,3961,3960,3960,3959,3961,3961,3960,3961,3961,3964,3964,3959,3961,3960,3960,3960,3961,3961,3961,3960,3957,3961,3959,3959,3964,3959,3959,3963,3964,3964,3964,3959,3961,3961,3961,3960,3961,3964,3964,3959,3964,3961,3960,3960,3961,3964,3960,3960,3961,3964,3960,3959,3961,3960,3960,3960,3957,3960,3960,3959,3957,3959,3959,3959,3959,na,1N4AZ0CP1DC421447,80.09,12.96,52302,0,1257,36.25,36.75,35.5,34.5,80,83,0,35,1495310833,6,2,0,0,0,0,0,0,0,2,380.30,380.30,A78,1,1,1,0080,67,0,0
05/20/2017 14:07:18,9 54.42587,-84 8.04840,1240,2.0,133,593593,546220,380.06,2.020,3964,3955,3959,9,0,75.4,24.1,75.6,24.2,none,none,76.3,24.6,3959,3959,3959,3961,3960,3960,3960,3961,3960,3960,3959,3961,3961,3957,3960,3961,3960,3960,3959,3961,3960,3960,3959,3961,3960,3960,3959,3961,3964,3960,3959,3961,3960,3960,3959,3961,3961,3964,3961,3961,3960,3960,3959,3961,3960,3960,3955,3961,3961,3957,3960,3957,3961,3959,3959,3964,3959,3959,3959,3964,3964,3960,3959,3961,3961,3961,3960,3957,3960,3964,3955,3955,3961,3960,3960,3961,3960,3960,3960,3961,3960,3960,3959,3961,3960,3960,3960,3961,3960,3960,3959,3961,3955,3959,3959,3959,na,1N4AZ0CP1DC421447,80.09,12.96,52302,0,1257,36.25,36.75,35.5,34.5,80,83,0,35,1495310838,12,2,0,0,0,0,0,0,0,2,380.14,380.14,578,1,1,1,0080,67,0,0
05/20/2017 14:07:23,9 54.42736,-84 8.04886,1242,1.0,133,593549,546220,380.16,1.378,3964,3954,3960,10,0,75.4,24.1,75.7,24.3,none,none,76.5,24.7,3959,3959,3959,3961,3964,3960,3960,3961,3960,3960,3955,3961,3961,3961,3960,3961,3960,3960,3959,3961,3960,3960,3959,3961,3960,3960,3959,3961,3960,3964,3959,3961,3960,3960,3959,3961,3961,3964,3961,3961,3960,3964,3959,3961,3960,3960,3960,3961,3961,3961,3964,3961,3961,3959,3959,3964,3959,3959,3954,3964,3964,3960,3959,3961,3961,3961,3960,3957,3964,3964,3959,3964,3957,3960,3960,3957,3960,3960,3960,3961,3960,3960,3959,3961,3960,3960,3960,3957,3955,3960,3959,3961,3959,3959,3959,3959,na,1N4AZ0CP1DC421447,80.09,12.96,52302,0,1257,36.25,36.75,35.5,34.5,80,83,0,35,1495310843,12,2,0,0,0,0,0,0,0,2,380.13,380.13,578,1,1,1,0080,67,0,0
05/20/2017 14:07:27,9 54.42816,-84 8.04932,1238,0.0,133,593508,546220,379.87,3.399,3961,3953,3957,8,0,75.4,24.1,75.6,24.2,none,none,76.3,24.6,3959,3959,3959,3957,3960,3955,3955,3961,3960,3955,3959,3961,3957,3957,3955,3957,3955,3960,3959,3957,3960,3955,3959,3961,3955,3955,3955,3957,3960,3960,3959,3961,3955,3955,3959,3957,3957,3960,3957,3957,3960,3955,3959,3961,3955,3955,3955,3961,3961,3957,3960,3957,3957,3959,3959,3960,3960,3959,3959,3960,3960,3960,3959,3957,3957,3958,3955,3953,3955,3960,3959,3960,3957,3960,3955,3957,3960,3960,3955,3957,3960,3955,3959,3957,3955,3956,3955,3958,3960,3960,3959,3961,3959,3959,3959,3959,na,1N4AZ0CP1DC421447,80.09,12.88,52302,0,1257,36.25,36.75,35.5,34.5,80,83,0,35,1495310847,0,2,0,0,0,0,0,0,0,4,380.16,380.16,578,1,1,1,0080,67,0,0
05/20/2017 14:07:32,9 54.43079,-84 8.04565,1237,9.2,133,593306,546220,379.01,15.739,3954,3944,3948,10,0,75.6,24.2,75.7,24.3,none,none,76.3,24.6,3948,3949,3948,3946,3949,3945,3945,3946,3949,3945,3949,3946,3946,3946,3945,3946,3949,3949,3949,3946,3949,3949,3944,3946,3945,3945,3949,3946,3949,3949,3949,3946,3948,3949,3948,3951,3950,3949,3950,3947,3948,3949,3948,3946,3948,3949,3948,3951,3950,3946,3949,3947,3950,3949,3949,3949,3950,3953,3948,3949,3953,3954,3952,3951,3950,3947,3948,3947,3948,3949,3952,3949,3946,3949,3948,3947,3953,3949,3945,3946,3953,3949,3952,3946,3948,3950,3948,3952,3953,3949,3953,3946,3948,3949,3948,3949,na,1N4AZ0CP1DC421447,80.09,12.96,52302,0,1257,36.25,36.75,35.5,34.5,80,83,0,35,1495310852,99,2,0,0,0,0,0,0,0,7,379.30,379.30,578,1,1,1,0080,67,0,0
05/20/2017 14:07:36,9 54.43399,-84 8.03787,1238,10.8,133,593201,546220,380.26,-2.169,3964,3955,3961,9,0,75.4,24.1,75.6,24.2,none,none,76.3,24.6,3958,3958,3962,3964,3963,3963,3959,3960,3963,3963,3958,3964,3960,3960,3963,3960,3963,3963,3963,3960,3963,3963,3963,3960,3963,3959,3958,3960,3963,3963,3963,3964,3963,3959,3963,3960,3960,3963,3960,3960,3963,3963,3963,3964,3959,3959,3959,3960,3964,3960,3963,3960,3960,3963,3963,3963,3963,3962,3962,3963,3963,3963,3958,3960,3960,3960,3963,3960,3963,3963,3963,3963,3960,3963,3963,3960,3963,3959,3963,3960,3963,3963,3963,3960,3963,3959,3959,3960,3963,3963,3963,3960,3959,3955,3959,3959,na,1N4AZ0CP1DC421447,80.09,12.96,52302,0,1257,36.25,36.75,35.5,34.5,80,83,0,35,1495310856,1,2,0,0,0,0,0,0,0,7,380.12,380.12,578,1,1,1,0080,67,0,0
05/20/2017 14:07:41,9 54.43497,-84 8.03467,1239,3.2,133,593238,546220,380.06,1.966,3963,3954,3959,9,0,75.6,24.2,75.6,24.2,none,none,76.3,24.6,3959,3959,3959,3961,3960,3955,3955,3957,3960,3960,3959,3961,3957,3957,3960,3957,3960,3960,3959,3961,3960,3960,3959,3961,3955,3955,3959,3957,3960,3960,3959,3961,3960,3960,3959,3961,3960,3963,3960,3960,3959,3959,3958,3960,3963,3959,3959,3960,3960,3960,3963,3960,3960,3958,3958,3963,3954,3958,3958,3959,3963,3963,3958,3960,3960,3960,3959,3960,3959,3963,3958,3963,3960,3959,3959,3960,3963,3959,3959,3960,3959,3963,3958,3960,3963,3959,3959,3960,3959,3959,3958,3960,3958,3958,3958,3963,na,1N4AZ0CP1DC421447,80.09,12.88,52302,0,1257,36.25,36.75,35.5,34.5,80,83,-1,35,1495310861,1,2,0,0,0,0,0,0,0,7,380.20,380.20,578,1,1,1,0080,68,0,0
05/20/2017 14:07:45,9 54.43691,-84 8.03192,1239,13.3,133,593033,546220,377.18,48.520,3938,3917,3929,21,0,75.4,24.1,75.7,24.3,none,none,76.3,24.6,3934,3933,3931,3930,3932,3929,3928,3926,3932,3929,3932,3930,3933,3926,3928,3926,3932,3929,3927,3930,3928,3933,3932,3926,3928,3929,3927,3930,3932,3933,3932,3926,3928,3929,3932,3930,3929,3929,3929,3930,3928,3929,3927,3934,3928,3929,3928,3934,3931,3930,3930,3930,3933,3933,3929,3929,3930,3928,3933,3934,3934,3929,3932,3930,3933,3930,3926,3930,3932,3933,3927,3929,3928,3929,3928,3930,3932,3929,3930,3927,3934,3925,3934,3930,3932,3924,3934,3917,3934,3924,3938,3927,3930,3933,3929,3933,na,1N4AZ0CP1DC421447,80.09,12.96,52302,0,1257,36.25,36.75,35.5,34.5,80,83,-1,35,1495310865,129,2,0,0,0,0,0,0,0,7,379.05,379.05,578,1,1,1,0080,68,0,0
05/20/2017 14:07:50,9 54.44201,-84 8.03009,1238,18.8,133,592465,546220,380.16,-23.006,3974,3951,3960,23,0,75.6,24.2,75.6,24.2,none,none,76.3,24.6,3973,3972,3971,3974,3972,3972,3972,3974,3972,3972,3972,3969,3974,3969,3972,3969,3972,3972,3972,3969,3972,3972,3972,3974,3972,3972,3972,3969,3955,3955,3955,3957,3955,3955,3955,3952,3957,3955,3952,3957,3955,3955,3955,3957,3951,3955,3955,3957,3957,3952,3955,3957,3957,3955,3955,3960,3955,3954,3954,3955,3960,3955,3955,3957,3957,3952,3955,3957,3955,3955,3955,3955,3952,3955,3955,3957,3955,3955,3955,3957,3955,3955,3955,3957,3955,3955,3955,3957,3955,3955,3955,3957,3955,3955,3954,3959,na,1N4AZ0CP1DC421447,80.08,12.96,52302,0,1257,36,36.5,35.5,35.5,80,83,-1,35,1495310870,36,2,0,0,0,0,0,0,0,7,378.83,378.83,578,1,1,1,0080,68,0,0
05/20/2017 14:07:54,9 54.44201,-84 8.03009,1238,18.8,133,592734,546220,380.93,-14.864,3974,3964,3968,10,0,75.6,24.2,75.6,24.2,none,none,76.3,24.6,3969,3968,3969,3970,3970,3969,3970,3970,3970,3969,3969,3970,3967,3966,3970,3966,3965,3969,3969,3966,3970,3969,3969,3966,3970,3969,3969,3966,3970,3969,3969,3970,3970,3969,3969,3970,3971,3969,3967,3966,3970,3969,3969,3970,3965,3964,3970,3966,3971,3966,3969,3966,3967,3973,3968,3969,3973,3968,3968,3969,3974,3969,3969,3970,3967,3965,3970,3966,3970,3969,3969,3973,3970,3969,3970,3966,3970,3969,3969,3966,3970,3969,3969,3970,3970,3968,3965,3969,3970,3969,3968,3966,3969,3968,3968,3968,na,1N4AZ0CP1DC421447,80.08,12.96,52303,0,1257,36,36.5,35.5,35.5,80,83,-6,35,1495310874,0,2,0,0,0,0,0,0,0,7,380.97,380.97,578,1,1,1,0080,68,0,0
