Date/Time,Lat,Long,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,VIN,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(100w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp
07/01/2017 13:27:36,9 55.13346,-84 8.15781,1219,0.0,89,440433,541773,372.96,2.946,3893,3880,3885,13,0,74.3,23.5,73.2,22.9,none,none,73.8,23.2,3884,3884,3888,3885,3888,3884,3884,3885,3884,3888,3884,3881,3885,3881,3884,3885,3884,3888,3888,3885,3884,3884,3884,3885,3884,3884,3884,3885,3884,3888,3888,3885,3884,3884,3884,3885,3885,3884,3885,3886,3884,3884,3884,3885,3884,3884,3880,3885,3885,3885,3888,3886,3885,3884,3888,3888,3884,3883,3883,3888,3893,3888,3888,3885,3885,3881,3884,3886,3888,3888,3888,3888,3885,3888,3884,3886,3888,3884,3884,3881,3884,3884,3888,3885,3888,3884,3884,3886,3884,3884,3888,3885,3888,3888,3888,3884,na,1N4AZ0CP1DC421447,78.77,12.88,53493,0,1302,38.25,37.75,37.5,37.25,76,82,-491,55,1498937256,0,2,4,0,18,0,0,0,0,1,373.01,373.01,FF38,1,1,1,0080,64,0,0
07/01/2017 13:27:42,9 55.13346,-84 8.15781,1219,0.0,89,440309,541773,372.96,2.872,3890,3881,3885,9,0,74.3,23.5,73.2,22.9,none,none,73.8,23.2,3884,3884,3888,3885,3888,3884,3884,3885,3884,3884,3884,3885,3885,3881,3884,3885,3884,3888,3888,3885,3884,3884,3884,3885,3884,3884,3888,3885,3888,3888,3884,3885,3884,3884,3884,3885,3885,3884,3885,3886,3884,3884,3884,3885,3884,3884,3884,3885,3890,3885,3888,3886,3885,3888,3888,3888,3884,3883,3883,3888,3888,3888,3884,3885,3885,3881,3884,3886,3888,3888,3888,3888,3885,3888,3884,3886,3888,3884,3884,3881,3884,3884,3888,3885,3888,3884,3884,3885,3884,3884,3888,3885,3888,3888,3888,3888,na,1N4AZ0CP1DC421447,78.77,12.88,53493,0,1302,38.25,37.75,37.5,37.25,76,82,-491,55,1498937262,0,2,3,0,17,0,0,0,0,1,372.99,372.99,FF38,1,1,1,0080,64,0,0
07/01/2017 13:27:47,9 55.13346,-84 8.15781,1219,0.0,89,440234,541773,373.25,-0.142,3894,3884,3888,10,0,74.3,23.5,73.4,23.0,none,none,73.8,23.2,3888,3888,3888,3890,3893,3888,3884,3890,3888,3888,3888,3890,3890,3885,3888,3890,3888,3893,3888,3890,3888,3888,3888,3885,3888,3888,3888,3890,3888,3893,3888,3890,3888,3888,3888,3890,3890,3888,3890,3886,3888,3888,3888,3890,3884,3884,3884,3890,3894,3890,3893,3890,3890,3888,3888,3893,3888,3888,3888,3893,3893,3893,3888,3890,3890,3885,3888,3886,3888,3893,3888,3893,3890,3888,3888,3890,3888,3888,3888,3885,3888,3888,3888,3890,3893,3888,3888,3890,3893,3888,3888,3890,3888,3888,3892,3888,na,1N4AZ0CP1DC421447,78.77,12.88,53493,0,1302,38.25,37.75,37.5,37.25,76,82,-491,55,1498937267,0,2,0,0,0,0,0,0,0,1,373.35,373.35,FF38,1,1,1,0080,64,0,0
07/01/2017 13:27:51,9 55.13346,-84 8.15781,1219,0.0,89,440183,541773,373.34,-0.069,3893,3884,3889,9,0,74.3,23.5,73.2,22.9,none,none,73.8,23.2,3888,3888,3888,3890,3893,3888,3888,3890,3888,3893,3888,3890,3890,3890,3888,3885,3888,3893,3888,3890,3888,3888,3888,3890,3888,3888,3888,3890,3888,3893,3888,3890,3888,3888,3888,3890,3890,3888,3890,3890,3888,3888,3888,3890,3888,3884,3884,3890,3890,3890,3888,3890,3890,3888,3888,3893,3888,3888,3888,3893,3893,3893,3888,3890,3890,3890,3888,3890,3893,3893,3892,3893,3890,3893,3888,3890,3893,3888,3888,3890,3888,3888,3892,3890,3892,3887,3887,3889,3892,3887,3887,3889,3887,3887,3891,3887,na,1N4AZ0CP1DC421447,78.77,12.88,53493,0,1302,38.25,37.75,37.5,37.25,76,82,-491,55,1498937271,0,2,0,0,0,0,0,0,0,1,373.24,373.24,FF38,1,1,1,0080,64,0,0
07/01/2017 13:27:56,9 55.13346,-84 8.15781,1219,0.0,89,440100,541773,373.15,1.695,3893,3884,3887,9,0,74.5,23.6,73.2,22.9,none,none,73.8,23.2,3884,3888,3888,3885,3893,3884,3884,3885,3888,3888,3888,3885,3890,3885,3884,3885,3884,3888,3888,3890,3884,3888,3888,3885,3888,3884,3888,3885,3888,3888,3888,3885,3888,3888,3888,3885,3885,3888,3885,3886,3888,3884,3888,3885,3884,3884,3884,3890,3890,3885,3893,3886,3885,3888,3888,3888,3888,3888,3888,3888,3888,3893,3888,3885,3885,3885,3884,3886,3888,3893,3888,3888,3890,3888,3888,3886,3888,3884,3884,3885,3888,3884,3888,3890,3888,3888,3888,3885,3888,3884,3888,3890,3888,3888,3888,3888,na,1N4AZ0CP1DC421447,78.77,12.88,53493,0,1302,38.25,37.75,37.5,37.25,76,82,-491,55,1498937276,0,2,1,0,5,0,0,0,0,1,373.16,373.16,FF38,1,1,1,0080,64,0,0
07/01/2017 13:28:02,9 55.13346,-84 8.15781,1219,0.0,89,440002,541773,373.06,1.602,3893,3884,3886,9,0,74.3,23.5,73.4,23.0,none,none,73.8,23.2,3888,3888,3888,3885,3888,3884,3884,3885,3888,3888,3888,3885,3890,3885,3884,3885,3884,3888,3888,3885,3884,3888,3888,3885,3884,3884,3888,3885,3888,3888,3888,3885,3884,3888,3888,3885,3885,3888,3885,3886,3888,3884,3888,3885,3884,3884,3884,3885,3890,3890,3888,3886,3885,3888,3888,3888,3888,3888,3888,3888,3893,3888,3884,3885,3890,3885,3884,3886,3888,3893,3888,3888,3885,3888,3888,3886,3888,3888,3884,3885,3888,3884,3888,3885,3893,3884,3888,3885,3888,3884,3888,3890,3888,3888,3888,3888,na,1N4AZ0CP1DC421447,78.77,12.88,53493,0,1302,38.25,37.75,37.5,37.25,76,82,-491,55,1498937282,0,2,1,0,7,0,0,0,0,1,373.12,373.12,FF38,1,1,1,0080,64,0,0
07/01/2017 13:28:07,9 55.13346,-84 8.15781,1219,0.0,89,439873,541773,373.06,1.749,3893,3884,3886,9,0,74.5,23.6,73.2,22.9,none,none,73.8,23.2,3884,3888,3888,3885,3888,3884,3884,3885,3888,3888,3884,3885,3890,3885,3884,3885,3888,3888,3888,3885,3884,3888,3888,3885,3888,3884,3888,3885,3888,3888,3888,3885,3884,3884,3888,3885,3885,3888,3885,3886,3888,3884,3888,3885,3884,3884,3884,3890,3890,3885,3888,3886,3885,3888,3888,3888,3888,3888,3888,3888,3893,3893,3888,3885,3890,3885,3888,3886,3893,3893,3888,3888,3885,3888,3884,3886,3888,3884,3884,3885,3888,3884,3888,3890,3888,3884,3888,3885,3888,3884,3888,3890,3884,3888,3888,3888,na,1N4AZ0CP1DC421447,78.77,12.96,53493,0,1302,38.25,37.75,37.5,37.25,76,82,-491,55,1498937287,0,2,1,0,7,0,0,0,0,1,373.10,373.10,FF38,1,1,1,0080,64,0,0
07/01/2017 13:28:12,9 54.44778,-84 8.03238,1221,0.0,89,439784,541773,373.06,2.046,3893,3884,3886,9,0,74.5,23.6,73.2,22.9,none,none,73.8,23.2,3888,3888,3888,3885,3888,3884,3884,3885,3888,3888,3888,3885,3890,3885,3884,3885,3884,3888,3888,3885,3884,3888,3888,3885,3884,3884,3888,3885,3888,3888,3888,3885,3884,3884,3888,3885,3885,3888,3885,3886,3888,3884,3888,3885,3884,3884,3884,3890,3890,3885,3888,3886,3885,3888,3888,3888,3888,3888,3888,3888,3893,3888,3884,3885,3890,3885,3884,3886,3888,3893,3888,3888,3890,3888,3888,3886,3888,3884,3884,3885,3888,3884,3888,3885,3888,3888,3888,3885,3888,3884,3888,3885,3888,3888,3888,3888,na,1N4AZ0CP1DC421447,78.77,12.88,53493,0,1302,38.25,37.75,37.5,37.25,77,82,-491,55,1498937292,0,2,1,0,7,0,0,0,0,4,373.11,373.11,C878,1,1,1,0080,64,0,0
07/01/2017 13:28:17,9 54.43703,-84 8.04062,1221,0.0,89,439665,541773,372.77,7.156,3889,3880,3883,9,0,74.5,23.6,73.2,22.9,none,none,73.8,23.2,3884,3885,3884,3882,3885,3881,3881,3882,3885,3885,3885,3882,3886,3882,3885,3882,3885,3885,3885,3882,3881,3885,3885,3882,3885,3885,3885,3882,3885,3885,3885,3882,3885,3885,3885,3882,3882,3885,3882,3887,3885,3885,3885,3882,3885,3881,3881,3886,3885,3882,3885,3887,3882,3885,3885,3885,3885,3884,3884,3885,3888,3885,3880,3882,3882,3882,3884,3882,3885,3885,3889,3885,3882,3885,3885,3882,3885,3885,3885,3882,3884,3885,3884,3882,3885,3885,3884,3882,3880,3885,3885,3882,3884,3885,3889,3885,na,1N4AZ0CP1DC421447,78.77,12.96,53493,0,1302,38.25,37.75,37.5,37.25,77,82,0,55,1498937297,1,2,2,0,8,0,0,0,0,4,372.96,372.96,C878,1,1,1,0080,64,0,0
07/01/2017 13:28:21,9 54.43542,-84 8.04932,1221,0.2,89,439162,541773,371.23,19.127,3878,3861,3867,17,0,74.5,23.6,73.4,23.0,none,none,73.8,23.2,3869,3865,3869,3863,3870,3866,3866,3867,3870,3866,3870,3867,3867,3867,3866,3863,3866,3870,3870,3867,3866,3866,3870,3863,3866,3866,3870,3867,3870,3870,3865,3867,3870,3866,3870,3867,3867,3866,3867,3863,3866,3866,3870,3867,3866,3861,3866,3867,3871,3867,3871,3868,3867,3865,3871,3866,3867,3865,3870,3871,3878,3866,3865,3867,3867,3866,3865,3868,3870,3870,3874,3866,3869,3866,3866,3863,3866,3866,3867,3864,3865,3867,3869,3867,3870,3869,3865,3870,3869,3870,3866,3873,3864,3865,3870,3870,na,1N4AZ0CP1DC421447,78.77,12.88,53493,0,1302,38.25,37.75,37.5,37.25,77,82,0,54,1498937301,201,2,1,0,7,0,0,0,0,7,371.16,371.16,C878,1,1,1,0080,64,0,0
