Date/Time,Lat,Long,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,VIN,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp, Speed1, Speed2,Wiper Status,Torque Nm
10/11/2018 8:32:22,9 54.43583,-84 8.03696,1222,7.6,179,782174,527385,385.92,-0.103,4027,4012,4020,15,0,72.1,22.3,71.2,21.8,none,none,71.4,21.9,-4016,-4020,4020,-4027,-4016,-4021,-4016,-4022,-4021,-4021,-4020,-4022,4018,-4022,-4016,-4022,-4021,-4021,-4020,-4022,-4021,-4021,-4020,-4022,-4016,-4021,-4020,-4022,-4021,-4021,-4020,-4022,-4021,-4021,-4020,-4022,-4022,-4021,-4018,-4023,-4021,-4021,-4020,-4022,-4021,-4021,-4016,-4018,4018,4022,4012,-4027,-4022,4020,-4020,-4021,-4020,-4020,-4020,-4021,-4021,-4021,-4020,-4018,-4022,4018,4016,-4027,-4016,-4016,-4020,-4021,-4027,4016,4016,-4027,-4021,-4021,-4021,-4022,-4016,-4021,4016,-4027,-4016,-4021,4016,-4027,-4016,-4016,4016,-4022,-4020,-4020,-4020,-4020,0.04,1N4AZ0CP1DC421447,72.76,12.96,64387,0,1765,38.25,37.5,37.25,37.5,70.7,80.64,0,19,1539268342,0,2,0,0,0,0,0,0,0,4,385.94,385.94,78,1,1,1,0080,62,0,0,688,712,0E,-0.25,0
10/11/2018 8:32:27,9 54.43995,-84 8.03238,1220,18.1,179,782137,527385,384.00,26.646,4013,3992,4000,21,0,72.1,22.3,71.2,21.8,none,none,71.4,21.9,-4002,-4004,3998,-4006,-3999,-4000,-3999,-4002,-3999,-4000,-3999,-4002,3996,-4006,-3999,-4002,-4004,-4000,-4003,-4002,-3999,-4000,-4003,-4002,-3999,-3996,-3999,-4002,-4004,-4000,-4003,-4006,-4004,-4000,-3999,-4002,-4005,-4005,-4001,-4002,-4004,-4005,-4003,-4002,-3999,-4005,-3995,-4002,4000,4002,3992,-4006,-4001,4000,-4001,-4005,-3997,-4004,-4000,-3997,-4003,-4000,-3999,-3997,-4005,4000,3998,-4006,-3995,-4000,-4003,-3996,-4003,3996,3995,-4006,-3999,-4000,-3997,-4003,-3998,-4001,3993,-4010,-3999,-4003,3994,-4013,-3998,-4000,3996,-4011,-3998,-4000,-4000,-4000,0.12,1N4AZ0CP1DC421447,72.76,12.96,64387,0,1765,38.25,37.5,37.25,37.5,70.7,80.64,0,19,1539268347,920,2,0,0,0,0,0,0,0,4,386.07,386.07,78,1,1,1,0080,63,0,0,2017,2089,0E,105.75,0
10/11/2018 8:32:34,9 54.47577,-84 8.03513,1216,41.1,179,781277,527385,385.25,3.405,4020,4005,4013,15,0,72.1,22.3,71.2,21.8,none,none,71.2,21.8,-4012,-4017,4012,-4014,-4013,-4013,-4013,-4014,-4014,-4014,-4013,-4015,4011,-4015,-4014,-4015,-4014,-4014,-4013,-4015,-4014,-4014,-4013,-4015,-4014,-4014,-4013,-4011,-4014,-4014,-4013,-4015,-4014,-4014,-4013,-4011,-4015,-4014,-4011,-4016,-4014,-4014,-4013,-4015,-4014,-4014,-4014,-4011,4010,4015,4005,-4016,-4011,4013,-4013,-4014,-4013,-4013,-4013,-4014,-4013,-4014,-4013,-4011,-4015,4011,4008,-4016,-4009,-4014,-4013,-4014,-4015,4009,4009,-4016,-4014,-4014,-4014,-4015,-4008,-4014,4008,-4020,-4014,-4009,4008,-4015,-4008,-4009,4009,-4020,-4012,-4013,-4013,-4013,0.51,1N4AZ0CP1DC421447,72.76,12.96,64387,0,1765,38.25,37.5,36.5,37.5,70.7,80.64,0,19,1539268354,3600,2,0,0,0,0,0,0,0,4,385.01,385.01,78,1,1,1,0080,63,0,0,4138,4285,0E,-11.50,0
10/11/2018 8:32:39,9 54.51204,-84 8.04703,1207,57.1,179,781519,527385,387.07,-13.778,4038,4023,4032,15,0,72.1,22.3,71.2,21.8,none,none,71.4,21.9,-4032,-4035,4031,-4037,-4028,-4036,-4032,-4037,-4032,-4031,-4036,-4033,4029,-4037,-4032,-4033,-4032,-4031,-4036,-4033,-4037,-4031,-4032,-4037,-4032,-4031,-4032,-4033,-4032,-4031,-4032,-4033,-4032,-4031,-4032,-4033,-4034,-4036,-4034,-4033,-4032,-4036,-4036,-4037,-4032,-4036,-4032,-4033,4034,4033,4027,-4037,-4034,4031,-4031,-4031,-4031,-4035,-4030,-4031,-4032,-4036,-4036,-4033,-4038,4027,4028,-4033,-4032,-4031,-4032,-4036,-4037,4027,4028,-4037,-4032,-4031,-4031,-4033,-4032,-4036,4027,-4037,-4032,-4030,4023,-4036,-4028,-4031,4031,-4037,-4032,-4031,-4030,-4031,1.01,1N4AZ0CP1DC421447,72.76,12.96,64387,0,1765,38.25,37.5,36.5,37.5,70.7,80.64,-5,19,1539268359,0,2,0,0,0,0,0,0,0,4,387.04,387.04,78,1,1,1,0080,64,0,0,5660,5862,0E,-16.75,0
10/11/2018 8:32:44,9 54.55730,-84 8.05847,1206,62.6,179,781969,527385,387.65,-17.579,4046,4030,4038,16,0,72.0,22.2,71.2,21.8,none,none,71.2,21.8,-4041,-4040,4039,-4046,-4036,-4040,-4036,-4041,-4040,-4036,-4040,-4041,4037,-4041,-4036,-4041,-4040,-4040,-4040,-4037,-4036,-4040,-4040,-4041,-4036,-4040,-4035,-4041,-4040,-4040,-4040,-4041,-4040,-4040,-4040,-4041,-4041,-4040,-4037,-4037,-4040,-4040,-4040,-4041,-4040,-4040,-4036,-4037,4034,4037,4030,-4042,-4037,4040,-4039,-4040,-4039,-4039,-4038,-4035,-4041,-4040,-4040,-4037,-4041,4035,4032,-4042,-4036,-4036,-4040,-4036,-4040,4036,4031,-4042,-4036,-4040,-4035,-4040,-4037,-4039,4036,-4046,-4031,-4038,4032,-4044,-4037,-4040,4034,-4045,-4036,-4035,-4038,-4040,0.88,1N4AZ0CP1DC421447,72.76,12.96,64387,0,1765,38.25,37.75,36.5,36.5,70.7,80.64,-13,19,1539268364,0,2,0,0,0,0,0,0,0,4,387.59,387.59,78,1,1,1,0080,64,0,0,6102,6319,0E,-18.25,0
10/11/2018 8:32:50,9 54.61327,-84 8.07220,1203,66.2,179,782458,527385,387.84,-18.999,4050,4034,4040,16,0,72.1,22.3,71.2,21.8,none,none,71.4,21.9,-4041,-4040,4039,-4046,-4036,-4040,-4040,-4041,-4040,-4040,-4040,-4041,4037,-4046,-4040,-4041,-4040,-4040,-4040,-4041,-4044,-4040,-4040,-4046,-4040,-4040,-4040,-4041,-4040,-4040,-4040,-4041,-4040,-4040,-4044,-4041,-4041,-4044,-4041,-4042,-4040,-4044,-4040,-4046,-4040,-4044,-4036,-4041,4038,4041,4035,-4042,-4041,4044,-4039,-4044,-4043,-4044,-4038,-4039,-4041,-4040,-4040,-4041,-4046,4035,4037,-4042,-4036,-4040,-4040,-4040,-4045,4036,4036,-4046,-4040,-4040,-4035,-4045,-4041,-4039,4036,-4050,-4036,-4038,4037,-4043,-4037,-4040,4034,-4040,-4041,-4040,-4038,-4040,0.21,1N4AZ0CP1DC421447,72.76,12.96,64387,0,1765,38.25,37.75,36.5,36.5,71.6,80.64,-22,19,1539268370,0,2,0,0,0,0,0,0,0,4,387.80,387.80,78,1,1,1,0080,64,0,0,6341,6567,0E,-17.25,0
10/11/2018 8:32:55,9 54.66219,-84 8.08777,1192,72.4,179,783073,527385,388.22,-43.511,4052,4038,4044,14,0,72.1,22.3,71.2,21.8,none,none,71.4,21.9,-4044,-4043,4048,-4049,-4044,-4043,-4044,-4049,-4044,-4043,-4044,-4045,4041,-4049,-4044,-4049,-4044,-4043,-4048,-4045,-4049,-4043,-4044,-4045,-4044,-4043,-4044,-4045,-4044,-4043,-4044,-4045,-4044,-4043,-4044,-4045,-4046,-4048,-4046,-4045,-4049,-4043,-4048,-4049,-4044,-4043,-4044,-4045,4041,4045,4038,-4045,-4046,4047,-4046,-4048,-4046,-4047,-4046,-4042,-4044,-4043,-4048,-4040,-4050,4038,4040,-4050,-4044,-4043,-4044,-4043,-4048,4043,4040,-4050,-4044,-4043,-4042,-4044,-4044,-4042,4040,-4049,-4040,-4041,4040,-4052,-4040,-4043,4038,-4048,-4040,-4043,-4046,-4047,1.16,1N4AZ0CP1DC421447,72.76,12.88,64387,0,1765,38.25,37.75,36.5,36.5,71.6,80.64,-34,20,1539268375,0,2,0,0,0,0,0,0,0,4,388.40,388.40,78,1,1,1,0080,64,0,0,7068,7320,0E,-18.75,0
10/11/2018 8:33:01,9 54.71992,-84 8.10471,1185,61.9,180,784347,527385,392.93,-73.671,4102,4081,4093,21,0,72.1,22.3,71.4,21.9,none,none,71.4,21.9,-4094,-4094,4091,-4096,-4092,-4095,-4092,-4096,-4092,-4095,-4092,-4100,4089,-4100,-4092,-4096,-4092,-4090,-4096,-4096,-4097,-4099,-4096,-4096,-4092,-4095,-4092,-4092,-4092,-4095,-4092,-4100,-4092,-4090,-4092,-4096,-4098,-4099,-4094,-4096,-4092,-4099,-4096,-4096,-4092,-4099,-4092,-4096,4091,4096,4087,-4096,-4094,4090,-4091,-4099,-4094,-4098,-4091,-4092,-4094,-4095,-4092,-4096,-4098,4089,4085,-4096,-4092,-4095,-4087,-4090,-4101,4090,4088,-4101,-4092,-4095,-4092,-4093,-4094,-4092,4089,-4096,-4088,-4092,4081,-4096,-4085,-4095,4087,-4102,-4089,-4094,-4091,-4094,0.91,1N4AZ0CP1DC421447,72.75,12.96,64388,0,1765,38.25,37.75,36.5,36.5,71.6,80.64,-58,20,1539268381,0,2,0,0,0,0,0,0,0,4,392.71,392.71,78,1,1,1,0080,64,0,0,6047,6262,0E,-61.25,0
10/11/2018 8:33:06,9 54.76427,-84 8.11569,1176,60.2,180,786252,527385,392.06,-53.103,4094,4075,4084,19,0,72.1,22.3,71.2,21.8,none,none,71.4,21.9,-4083,-4085,4085,-4091,-4082,-4090,-4082,-4087,-4086,-4085,-4081,-4091,4083,-4091,-4082,-4087,-4082,-4081,-4086,-4087,-4091,-4085,-4081,-4091,-4082,-4085,-4081,-4087,-4082,-4085,-4086,-4087,-4082,-4081,-4086,-4087,-4088,-4090,-4083,-4087,-4086,-4090,-4086,-4091,-4086,-4090,-4077,-4091,4082,4088,4075,-4088,-4084,4086,-4084,-4086,-4082,-4085,-4083,-4084,-4085,-4086,-4087,-4079,-4089,4078,4080,-4093,-4078,-4082,-4082,-4077,-4094,4082,4078,-4093,-4083,-4086,-4084,-4086,-4080,-4084,4076,-4092,-4078,-4081,4080,-4081,-4080,-4077,4079,-4081,-4080,-4081,-4083,-4081,0.90,1N4AZ0CP1DC421447,72.75,12.88,64388,0,1765,38.25,37.75,36.5,36.5,71.6,80.64,-94,20,1539268386,0,2,0,0,0,0,0,0,0,7,392.01,392.01,78,1,1,1,0080,64,0,0,5835,6043,0E,-52.75,0
10/11/2018 8:33:13,9 54.81892,-84 8.13721,1166,54.4,181,787716,527385,391.97,-48.853,4097,4075,4083,22,0,72.1,22.3,71.4,21.9,none,none,71.4,21.9,-4084,-4081,4082,-4092,-4078,-4082,-4083,-4088,-4083,-4082,-4082,-4088,4080,-4088,-4078,-4088,-4083,-4082,-4082,-4088,-4087,-4086,-4082,-4092,-4083,-4082,-4078,-4083,-4083,-4086,-4082,-4083,-4083,-4082,-4082,-4083,-4084,-4091,-4084,-4088,-4087,-4086,-4082,-4092,-4083,-4086,-4078,-4088,4082,4083,4075,-4088,-4084,4081,-4084,-4086,-4083,-4085,-4083,-4084,-4080,-4086,-4082,-4079,-4089,4083,4080,-4093,-4083,-4082,-4087,-4077,-4094,4082,4078,-4088,-4083,-4086,-4080,-4086,-4080,-4084,4076,-4097,-4078,-4081,4076,-4095,-4080,-4082,4079,-4081,-4084,-4081,-4079,-4086,0.86,1N4AZ0CP1DC421447,72.75,12.88,64388,0,1765,38.25,37.75,36.5,36.5,71.6,80.64,-122,21,1539268393,0,2,0,0,0,0,0,0,0,7,392.03,392.03,78,1,1,1,0080,65,0,0,5322,5512,0E,-51.25,0
