Date/Time,Lat,Long,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,VIN,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp, Speed1, Speed2,Wiper Status,Torque Nm
01/28/2019 7:48:39,9 54.42507,-84 8.17013,1222,27.9,160,719513,520780,386.98,-36.411,4041,4023,4031,18,0,72.3,22.4,71.1,21.7,none,none,70.3,21.3,-4033,-4031,4041,-4029,4037,4032,4033,-4033,4037,4036,-4032,-4037,-4030,-4029,4037,-4033,4033,4032,-4028,-4033,-4033,4036,-4032,-4037,4033,4036,-4028,-4033,-4028,4036,-4028,-4029,4033,4032,-4028,-4033,-4030,4036,-4025,-4029,4037,-4032,-4032,-4037,-4028,-4032,4028,-4033,-4026,-4029,4035,-4029,-4030,-4031,4035,4036,-4029,-4031,-4025,4035,4034,4032,-4028,-4033,-4030,-4029,4034,-4025,4033,4032,4028,4040,-4027,4036,4033,-4025,-4028,4036,4035,-4028,4038,-4026,4038,-4029,4033,4028,4029,-4029,-4034,-4027,-4035,-4023,4033,4031,4030,4036,0.84,1N4AZ0CP1DC421447,70.87,13.04,66327,0,1987,36.75,37,33.25,35.5,68.0,79.63,-3481,100,1548683319.273,0,2,0,0,0,0,0,0,0,7,384.49,384.49,7F,1,1,1,0080,62,40,40,2918,3022,0F,-82.00
01/28/2019 7:48:46,9 54.47049,-84 8.17778,1215,46.6,160,720595,520780,381.98,23.702,3997,3968,3979,29,0,72.3,22.4,71.1,21.7,none,none,70.3,21.3,-3988,-3990,3997,-3983,3989,3986,3989,-3987,3994,3990,-3989,-3987,-3980,-3972,3983,-3977,3983,3980,-3978,-3981,-3979,3984,-3978,-3981,3979,3980,-3978,-3977,-3979,3980,-3978,-3981,3979,3980,-3974,-3981,-3976,3984,-3976,-3977,3983,-3975,-3978,-3981,-3979,-3975,3979,-3977,-3975,-3972,3981,-3973,-3976,-3979,3980,3980,-3977,-3979,-3976,3985,3978,3980,-3974,-3977,-3976,-3975,3982,-3968,3979,3975,3978,3984,-3969,3980,3979,-3973,-3974,3980,3981,-3973,3982,-3972,3986,-3968,3979,3978,3978,-3981,-3978,-3975,-3976,-3978,3977,3975,3980,3979,0.42,1N4AZ0CP1DC421447,70.87,13.04,66327,0,1987,36.75,37,33.25,35.5,68.0,79.63,-3501,100,1548683326.627,13920,2,0,0,0,0,0,0,0,7,381.70,381.70,7F,1,1,1,0080,62,40,40,4591,4754,0F,-10.25
01/28/2019 7:48:53,9 54.50948,-84 8.1967,1207,42.5,160,722014,520780,387.94,-35.334,4049,4033,4041,16,0,72.3,22.4,71.1,21.7,none,none,70.3,21.3,-4042,-4040,4049,-4037,4046,4040,4041,-4037,4041,4040,-4041,-4042,-4038,-4037,4046,-4037,4041,4040,-4041,-4042,-4041,4045,-4041,-4042,4041,4040,-4037,-4042,-4041,4045,-4041,-4037,4041,4040,-4041,-4042,-4038,4049,-4038,-4042,4046,-4045,-4045,-4046,-4046,-4040,4046,-4037,-4039,-4037,4044,-4042,-4038,-4040,4043,4045,-4038,-4044,-4039,4044,4042,4045,-4041,-4046,-4038,-4039,4047,-4033,4041,4040,4037,4049,-4035,4045,4041,-4038,4041,4040,4044,-4036,4047,-4035,4046,-4033,4041,4042,4042,-4038,-4042,-4040,-4043,-4036,4042,4040,4043,4044,0.77,1N4AZ0CP1DC421447,70.87,12.88,66327,0,1987,36.75,37,33.25,35.5,68.0,79.63,-3527,100,1548683333.765,0,2,0,0,0,0,0,0,0,7,388.95,388.95,7F,1,1,1,0080,63,40,40,4104,4250,0F,-32.25
01/28/2019 7:49:01,9 54.5314,-84 8.23149,1198,24.4,161,724057,520780,391.68,-76.015,4096,4062,4080,34,0,72.5,22.5,71.1,21.7,none,none,70.3,21.3,-4080,-4081,4086,-4083,4082,4081,4078,-4083,4082,4081,-4077,-4083,-4079,-4078,4087,-4078,4078,4081,-4073,-4083,-4078,4086,-4082,-4078,4078,4081,-4073,-4083,-4073,4086,-4077,-4083,4082,4081,-4077,-4083,-4079,4090,-4079,-4083,4087,-4081,-4073,-4096,-4082,-4081,4087,-4083,-4078,-4078,4087,-4083,-4079,-4085,4087,4086,-4080,-4085,-4082,4083,4085,4090,-4077,-4074,-4079,-4075,4085,-4083,4082,4081,4086,4077,-4079,4086,4078,-4074,4082,4086,4078,-4084,4090,-4069,4094,-4065,4082,4078,4081,-4069,4081,4072,4082,-4062,4080,4072,4073,4090,0.94,1N4AZ0CP1DC421447,70.87,12.96,66328,0,1987,36.75,37,33.25,35.5,68.0,79.63,-3566,100,1548683341.115,0,2,0,0,0,0,0,0,0,7,391.55,391.55,7F,1,1,1,0080,63,40,40,2636,2730,0F,-101.25
01/28/2019 7:49:08,9 54.56741,-84 8.2396,1192,46.7,161,724592,520780,382.75,36.898,3998,3980,3987,18,0,72.3,22.4,71.1,21.7,none,none,70.3,21.3,-3986,-3984,3991,-3981,3988,3984,3988,-3981,3988,3984,-3983,-3986,-3985,-3981,3988,-3981,3988,3984,-3983,-3986,-3983,3989,-3983,-3981,3983,3984,-3983,-3986,-3983,3989,-3983,-3986,3991,3988,-3986,-3989,-3988,3997,-3984,-3994,3991,-3983,-3991,-3998,-3987,-3988,3991,-3980,-3983,-3985,3993,-3985,-3988,-3987,3993,3992,-3985,-3991,-3988,3993,3986,3992,-3991,-3989,-3988,-3983,3995,-3981,3991,3988,3995,3988,-3982,3992,3991,-3985,3996,3988,3989,-3986,3995,-3984,3990,-3989,3991,3991,3990,-3984,3990,3988,3993,-3986,3990,3992,3988,3992,0.75,1N4AZ0CP1DC421447,70.87,12.88,66328,0,1987,36.75,37,33.25,35.5,68.0,79.63,-3576,100,1548683348.317,8560,2,0,0,0,0,0,0,0,7,383.85,383.85,7F,1,1,1,0080,64,40,40,4557,4719,0F,46.00
01/28/2019 7:49:15,9 54.6221,-84 8.25937,1187,49.4,161,724375,520780,386.11,-13.486,4032,4014,4022,18,0,72.5,22.5,71.1,21.7,none,none,70.3,21.3,-4024,-4023,4027,-4020,4023,4023,4023,-4020,4023,4023,-4018,-4029,-4020,-4020,4028,-4020,4023,4023,-4018,-4025,-4023,4028,-4023,-4020,4023,4023,-4018,-4020,-4023,4028,-4023,-4025,4023,4023,-4023,-4025,-4020,4032,-4016,-4025,4032,-4023,-4023,-4025,-4023,-4023,4023,-4020,-4021,-4020,4027,-4021,-4020,-4023,4026,4028,-4022,-4027,-4021,4028,4024,4028,-4018,-4025,-4020,-4019,4029,-4016,4023,4023,4023,4028,-4015,4028,4023,-4016,4028,4023,4022,-4025,4029,-4014,4028,-4020,4023,4022,4024,-4018,4024,4019,4022,-4020,4024,4023,4021,4027,0.75,1N4AZ0CP1DC421447,70.87,12.88,66328,0,1987,36.75,37,33.25,35.5,68.0,79.63,-3576,100,1548683355.668,0,2,0,0,0,0,0,0,0,7,386.26,386.26,7F,1,1,1,0080,64,40,40,4852,5025,0F,-41.00
01/28/2019 7:49:22,9 54.66271,-84 8.29235,1183,51.9,161,725631,520780,386.98,-17.633,4044,4022,4031,22,0,72.3,22.4,71.1,21.7,none,none,70.3,21.3,-4032,-4027,4040,-4029,4032,4032,4028,-4029,4032,4032,-4027,-4034,-4034,-4025,4037,-4029,4032,4032,-4027,-4029,-4032,4037,-4027,-4029,4032,4032,-4023,-4029,-4032,4032,-4027,-4029,4032,4032,-4027,-4029,-4029,4037,-4029,-4030,4037,-4032,-4032,-4034,-4032,-4032,4032,-4029,-4029,-4025,4036,-4030,-4029,-4032,4031,4037,-4026,-4036,-4026,4031,4032,4037,-4032,-4034,-4029,-4027,4037,-4030,4032,4032,4027,4037,-4024,4037,4032,-4025,4037,4032,4031,-4028,4037,-4022,4036,-4025,4032,4030,4028,-4027,4040,4038,4037,-4038,4044,4038,4041,4042,0.57,1N4AZ0CP1DC421447,70.87,12.96,66328,0,1987,36.75,37,33.25,35.5,68.9,79.63,-3599,100,1548683362.814,0,2,0,0,0,0,0,0,0,7,387.81,387.81,7F,1,1,1,0080,64,40,40,5045,5225,0F,-2.50
01/28/2019 7:49:30,9 54.68602,-84 8.3332,1177,36.1,162,726824,520780,389.09,-40.804,4063,4043,4053,20,0,72.3,22.4,71.1,21.7,none,none,70.3,21.3,-4051,-4053,4057,-4051,4054,4054,4054,-4051,4054,4054,-4049,-4055,-4051,-4046,4058,-4051,4054,4054,-4049,-4055,-4054,4062,-4049,-4045,4054,4053,-4049,-4054,-4049,4057,-4049,-4054,4054,4057,-4049,-4054,-4051,4062,-4051,-4055,4063,-4053,-4058,-4059,-4054,-4057,4054,-4054,-4052,-4050,4060,-4050,-4055,-4052,4055,4062,-4049,-4056,-4050,4056,4055,4062,-4049,-4054,-4051,-4050,4059,-4046,4054,4053,4053,4057,-4048,4057,4054,-4046,4054,4057,4051,-4053,4059,-4043,4059,-4045,-4049,-4053,-4046,-4058,4055,4053,4050,-4053,4054,4052,4050,4052,0.69,1N4AZ0CP1DC421447,70.87,12.88,66328,0,1987,36.75,37,33.5,35.5,68.9,79.63,-3622,100,1548683370.015,0,2,0,0,0,0,0,0,0,7,389.12,389.12,7F,1,1,1,0080,65,40,40,3741,3874,0F,-101.00
01/28/2019 7:49:37,9 54.68819,-84 8.35661,1174,3.1,162,729024,520780,390.14,-44.647,4074,4054,4064,20,0,72.3,22.4,71.2,21.8,none,none,70.3,21.3,-4063,-4060,4070,-4062,4066,4065,4062,-4062,4066,4065,-4061,-4067,-4059,-4058,4066,-4062,4066,4061,-4061,-4067,-4066,4074,-4057,-4067,4066,4065,-4057,-4067,-4062,4070,-4061,-4067,4066,4065,-4061,-4062,-4063,4070,-4059,-4063,4071,-4061,-4061,-4071,-4066,-4070,4062,-4067,-4061,-4062,4068,-4063,-4063,-4065,4067,4070,-4062,-4069,-4058,4069,4068,4065,-4061,-4071,-4063,-4058,4068,-4054,4071,4065,4057,4074,-4060,4065,4066,-4054,4066,4065,4063,-4066,4068,-4060,4068,-4067,-4062,-4066,-4055,-4062,4064,4065,4063,-4066,4063,4065,4058,4069,0.66,1N4AZ0CP1DC421447,70.88,12.88,66328,0,1987,36.75,37,33.5,35.5,68.9,79.63,-3663,100,1548683377.216,0,2,0,0,0,0,0,0,0,7,390.37,390.37,7F,1,1,1,0080,65,40,40,561,581,0F,-97.75
01/28/2019 7:49:44,9 54.68772,-84 8.35694,1175,0.0,162,729403,520780,386.21,0.658,4031,4016,4023,15,0,72.3,22.4,71.1,21.7,none,none,70.3,21.3,-4021,-4021,4030,-4019,4026,4022,4022,-4023,4026,4026,-4021,-4028,-4023,-4019,4026,-4023,4026,4026,-4021,-4023,-4022,4031,-4021,-4023,4026,4022,-4021,-4023,-4022,4026,-4021,-4023,4026,4026,-4021,-4023,-4023,4031,-4019,-4024,4031,-4022,-4026,-4028,-4026,-4017,4026,-4019,-4019,-4019,4031,-4024,-4023,-4026,4026,4031,-4021,-4025,-4016,4031,4026,4026,-4021,-4028,-4023,-4019,4031,-4019,4026,4022,4026,4031,-4019,4031,4026,-4019,4026,4026,4026,-4023,4031,-4017,4030,-4019,4026,4022,4022,-4019,4026,4022,4026,-4019,4026,4021,4021,4026,0.88,1N4AZ0CP1DC421447,70.88,12.96,66328,0,1987,36.75,37,33.5,35.5,68.9,79.63,-3670,100,1548683384.371,0,2,0,0,0,0,0,0,0,7,386.36,386.36,7F,1,1,1,0080,65,40,40,424,439,0F,38.00
